"SourceTextTitle","SourceTextCode","LocationKey","LocationTitle","Type","Authority","OtherTexts","Cemetery X","Cemetery Y","Description","activityPercent","activityURL","excerpt","hgt","lab_old","mark","pageOccurences","wid","Display Label","Status","Other Structure","Role","SortName","True X","True Y","Region","AuthOtherTexts"
"Requiem for a Nun","RQ","003","Jefferson Square Monuments","Statue","Faulkner map","""Go Down, Moses"", As I Lay Dying, Go Down, Moses, Intruder in the Dust, The Mansion, The Sound and the Fury, The Town","1 285","824","<p>The Confederate monument that stands in front of the courthouse in the Square at the center of Jefferson appears in 7 fictions, but <em>Requiem</em> is the only one that goes into its history, when it describes the scene on ""Confederate Decoration Day"" in 1900 when Colonel Sartoris' sister, Virginia DuPre, officially unveils it in front of a large (but presumably all white) crowd that includes an aged group of Confederate veterans who celebrate the moment with a last 'rebel yell' (188).  According to the novel, the statue of a generic Southern soldier on a tall pedestal was ""instigated"" and paid for by the ""U.D.C."" - the United Daughters of the Confederacy, a real Southern organization (188).  <em>Requiem</em> is also the only fiction to mention that two other monuments stand next to this one: ""a French point-seventy-five field piece squatting on one flank of the base of the Confederate monument"" that is obviously a memorial to the soldiers who fought (as American rather than Confederate soldiers) during World War I (190); and (presumably on the statue's other ""flank"") a memorial to the combatants of World War II that very explicitly marks a re-united, and diverse but still racially vexed United States: an anti-tank gun ""captured from a regiment of Germans in an African desert by a regiment of Japanese in American uniforms, whose mothers and fathers at the time were in a California detention camp for enemy aliens"" (194).</p>","","","","","","","","","Monuments in the Square","Continuous","Square Monument","Site of Event","","","","",""
"The Mansion","M","003","Jefferson Square Monuments","Statue","Faulkner map","""Go Down, Moses"", As I Lay Dying, Go Down, Moses, Intruder in the Dust, Requiem for a Nun, The Sound and the Fury, The Town","1 285","824","<p>Jefferson's Confederate monument, as it's most often called, is a generic Southern soldier atop a tall pedestal in front of the courthouse in the Square at the center of town.  It appears in 7 fictions.  According to <em>Requiem for a Nun</em>, it was ""instigated"" and paid for by the United Daughters of the Confederacy (a real Southern organization) and officially unveiled on ""Confederate Decoration Day"" in 1900 (189).  <em>Requiem</em> provides the most details about the statue.  In this novel Linda Snopes Kohl notes that ""the Confederate monument in front of the courthouse""  is the only work of sculpture that Ratliff had ever seen before meeting her husband, a sculptor, in their Greenwich Village studio (223).</p>","","","","","","","","","Confederate Monument","Continuous","Square Monument","Only Mentioned in Text","","","","",""
"The Town","T","003","Jefferson Square Monuments","YoknapatawphaInset","Faulkner map","""Go Down, Moses"", As I Lay Dying, Go Down, Moses, Intruder in the Dust, Requiem for a Nun, The Mansion, The Sound and the Fury","1 768","472","<p>Jefferson's Confederate monument, as it's most often called, is a generic Southern soldier atop a tall pedestal in front of the courthouse in the Square at the center of town.  It appears in 7 fictions.  According to <em>Requiem for a Nun</em>, it was ""instigated"" and paid for by the United Daughters of the Confederacy (a real Southern organization) and officially unveiled on ""Confederate Decoration Day"" in 1900 (189).  This novel refers very briefly to that day ""when they unveiled the Confederate monument"" (118).</p>","","","","","","","","","Confederate Monument","Built","Square Monument","Site of Event","","1285","824","",""
"Intruder in the Dust","ID","003","Jefferson Square Monuments","Statue","Faulkner map","""Go Down, Moses"", As I Lay Dying, Go Down, Moses, Requiem for a Nun, The Mansion, The Sound and the Fury, The Town","1 285","824","<p>Jefferson's Confederate monument, as it's most often called, is a generic Southern soldier atop a tall pedestal in front of the courthouse in the Square at the center of town.  It appears in 7 fictions.  According to <em>Requiem for a Nun</em>, it was ""instigated"" and paid for by the United Daughters of the Confederacy (a real Southern organization) and officially unveiled on ""Confederate Decoration Day"" in 1900 (189).  <em>Requiem</em> provides the most details about the statue.  This novel briefly refers to it as ""the slender white pencil of the Confederate monument against the mass of the courthouse"" that Chick and Gavin see as they walk at night to the jail to meet with Lucas (48).</p>","","","","","","","","","Confederate Monument","Continuous","Square Monument","Only Mentioned in Text","","","","",""
"""Go Down, Moses""","GOD","003","Jefferson Square Monuments","Statue","Faulkner map","As I Lay Dying, Go Down, Moses, Intruder in the Dust, Requiem for a Nun, The Mansion, The Sound and the Fury, The Town","1 285","824","<p>Jefferson's Confederate monument, as it's most often called, is a generic Southern soldier atop a tall pedestal in front of the courthouse in the Square at the center of town.  It appears in 8 fictions.  According to <em>Requiem for a Nun</em>, it was ""instigated"" and paid for by the United Daughters of the Confederacy (a real Southern organization) and officially unveiled on ""Confederate Decoration Day"" in 1900 (189).  <em>Requiem</em> provides the most details about the statue.  It signifies the most in <em>The Sound and the Fury</em>, where it provides the novel with its harrowing and empty final scene.  There's an echo of that scene in the statue's appearance in this story, which is also at the very end, when the hearse carrying the body of Samuel Worsham Beauchamp ""circles the Confederate monument"" on its way ""home"" to the cemetery (265).</p>","","","","","","","","","Confederate Monument","Continuous","Square Monument","Only Mentioned in Text","","","","",""
"Go Down, Moses","GDM","003","Jefferson Square Monuments","Statue","Faulkner map","""Go Down, Moses"", As I Lay Dying, Intruder in the Dust, Requiem for a Nun, The Mansion, The Sound and the Fury, The Town","1 285","824","<p>Jefferson's Confederate monument, as it's most often called, is a generic Southern soldier atop a tall pedestal in front of the courthouse in the Square at the center of town.  It appears in 8 fictions.  According to <em>Requiem for a Nun</em>, it was ""instigated"" and paid for by the United Daughters of the Confederacy (a real Southern organization) and officially unveiled on ""Confederate Decoration Day"" in 1900 (189).  <em>Requiem</em> provides the most details about the statue.  It signifies the most in <em>The Sound and the Fury</em>, where it provides the novel with its harrowing and empty final scene.  There's an echo of that scene in the statue's appearance in this novel, which is also at the very end, when the hearse carrying the body of Samuel Worsham Beauchamp ""circles the Confederate monument"" on its way ""home"" to the cemetery (363).</p>","","","","","","","","","Confederate Monument","Continuous","Square Monument","Only Mentioned in Text","","","","",""
"The Sound and the Fury","SF","003","Jefferson Square Monuments","Statue","Faulkner map","""Go Down, Moses"", As I Lay Dying, Go Down, Moses, Intruder in the Dust, Requiem for a Nun, The Mansion, The Town","1 285","824","<p>The Confederate monument at the center of the Courthouse Square is the scene of the novel's last event, which is both deeply moving and deeply ironic.  According to <em>Requiem for a Nun</em>, which provides the most details about the statue and its history, is was erected in 1900.  The narrator of the novel's last section describes it as a ""Confederate soldier [who] gazes with empty eyes beneath his marble hand in wind and weather"" (319), and in Benjy's mind it one has to drive around the Square by going to its right.</p>","","","","","","","","","Confederate Monument","Continuous","Square Monument","Site of Event","","","","",""
"As I Lay Dying","LD","003","Jefferson Square Monuments","Statue","Faulkner map","""Go Down, Moses"", Go Down, Moses, Intruder in the Dust, Requiem for a Nun, The Mansion, The Sound and the Fury, The Town","1 285","824","<p>Jefferson's Confederate monument, as it's most often called, is a generic Southern soldier atop a tall pedestal in the Square at the center of town.  It appears in 8 fictions.  According to <em>Requiem for a Nun</em>, it was ""instigated"" and paid for by the United Daughters of the Confederacy (a real Southern organization) and officially unveiled on ""Confederate Decoration Day"" in 1900 (189).  <em>Requiem</em> provides the most details about the statue.  In this novel it is simply mentioned: when the Bundrens finally reach Jefferson, ""the street runs on ahead, where the square opens and the monument stands before the courthouse"" (231).</p>","","","","","","","","","Confederate Monument","Continuous","Square Monument","Only Mentioned in Text","","","","",""
"""My Grandmother Millard and General Bedford Forrest and the Battle of Harrykin Creek""","MGM","356","Virginia","OutOfYoknapatawpha","Text (when unambiguous)","","2 512","912","<p>In the middle of his story about events in Yoknapatawpha in 1862 Bayard looks ahead over thirty-five years to describe a conversation that takes place in Virginia, in ""the office of the Richmond editor"" of a Southern periodical (673).  He is making that point that, while some Confederates still refused to surrender, by the Spanish-American War US troops from both 'the North' and 'the South' could fight in Cuba side-by-side under a common flag.</p>","","","","","","","","","Richmond Newspaper Office","Continuous","Newspaper Office|Printing Shop","Site of Event","","","","",""
"The Unvanquished","UV","914","Buck and Buddy's Cabin","Cabin","Context (text, as interpreted)","Go Down, Moses","1 830","295","<p>This cabin is the site of an interesting if short-lived social experiment.  After their father dies, Buck and Buddy McCaslin build this ""two-room log house"" near the ""big colonial house"" (46-47) that their father had built.  They move their slaves into ""the manor house"" and live ""with about a dozen dogs"" in this cabin (47).  In his account of this, Bayard quotes his father as saying Buck and Buddy ""were ahead of their time"" (48).</p>","","","","","","","","","Buck and Buddy's Cabin","Built","White-occupied Cabin","Only Mentioned in Text","","","","",""
